SMILES,CLUSTER
O=C(COC(=O)c1ccccn1)Nc1cc(Cl)ccc1Cl,1.1.4
Nc1ccccc1-c1nnc(C(=O)NCc2nc3ccccc3[nH]2)o1,2.0
Nc1ccccc1-c1nnc(C(=O)NCc2ccc(C(F)(F)F)c(F)c2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCc2ccnc(N3CCSCC3)c2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)Nc2ccc3[nH]ncc3c2)o1,2.0
Cc1ccc(CNC(=O)c2nnc(-c3ccccc3N)o2)o1,1.1.6
Nc1ccccc1-c1nnc(C(=O)NC2CCc3ccccc32)o1,1.1.2
CC(NC(=O)c1nnc(-c2ccccc2N)o1)C12CC3CC(CC(C3)C1)C2,1.1.2
CCN(CC)c1ccc(NC(=O)c2nnc(-c3ccccc3N)o2)cc1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCc2ccccc2OC2CCOCC2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCc2ccccc2N2CCOCC2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NC2c3ccccc3CC2O)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCc2cccc(N3CCOCC3)c2)o1,1.1.2
CC1C2CCC(C)(C2)C1NC(=O)c1nnc(-c2ccccc2N)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCc2ccnc(N3CCOCC3)c2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCc2c(N)cccc2F)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1,1.1.2
Cn1nccc1NC(=O)c1nnc(-c2ccccc2N)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NC2CCCCNC2=O)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCCN2CCNC2=O)o1,1.2
Nc1ccccc1-c1nnc(C(=O)NCc2cccc(-n3cccn3)c2)o1,1.1.2
COc1cc(CNC(=O)c2nnc(-c3ccccc3N)o2)cc(OC)c1OC,1.1.2
Nc1ccccc1-c1nnc(C(=O)NC2CCNCC2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NCCCn2ccnc2)o1,1.1.2
O=C(Nc1ccc(N=Nc2ccccc2)cc1)c1cccc(Cl)c1,1.3
Cc1ccc(Cl)cc1NC(=O)CCC(=O)Nc1cc(Cl)ccc1C,1.1.4
Cc1sc(NC(=S)NC(=O)C2CCCCC2)c(C(N)=O)c1C,3.0
COc1ccc(C=NNC(=O)c2ccc(Br)cc2)cc1Cn1cc(Cl)cn1,1.1.3
Cc1ccc(C(=O)Nc2nc(-c3cc(Cl)sc3Cl)cs2)cc1,1.3
c1ccc(-c2cc3c(NCC4COc5ccccc5O4)ncnc3s2)cc1,1.1.1
CCN(Cc1ccccc1)c1nc2c(S(=O)(=O)c3ccccc3)nnn2c2ccc(Cl)cc12,1.1.3
COc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2NCc2ccc3c(c2)OCO3)cc1,1.2
C=C(C)CSc1cc(N)c(C#N)c(-c2ccc(C)cc2)c1C#N,1.1.1
CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNCC(O)COc3ccc(O)cc3)cc2)cc1,1.3
N#Cc1c(-c2ccccc2)cc(-c2ccco2)c(C#N)c1N,1.1.2
O=C(Nc1nc(-c2ccc(S(=O)(=O)N3CCCCCC3)cc2)cs1)c1cccs1,1.1.1
CCSc1nnc(NC(=O)c2ccc(Br)s2)s1,1.1.1
O=C(Cn1c(=O)oc2ccccc21)Nc1oc(-c2ccccc2)c(-c2ccccc2)c1O,1.1.6
O=C(Nc1nc(-c2cccs2)cs1)c1ccc(S(=O)(=O)N2CCCC2)cc1,1.2
O=C(COC(=O)c1cccc(Oc2ccccc2)c1)Nc1nnc(-c2ccccc2)o1,1.1.2
Cn1c(C(C#N)C(=O)c2sc3ccccc3c2Cl)nc2ccccc21,1.1.3
Oc1cc(-c2ccc(Cl)c(Cl)c2)[nH]n1,2.0
O=C(Nc1nc(-c2cccc(Br)c2)cs1)Oc1ccccc1,1.1.1
Cc1cc(NC(=O)Cc2cccs2)no1,1.1.2
