SMILES,CLUSTER
NC(=S)NN=C(COc1ccc(F)cc1)c1ccc(Br)cc1,1.3
NC(=S)NN=C(COc1ccc(F)c(Cl)c1)c1ccc(Br)cc1,1.3
NC(=S)NN=C(COc1ccc(Cl)c(Cl)c1)c1ccc(Br)cc1,1.3
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccc3ncccc3c2)C2CCCC2)nn1,1.2
COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccc3ncccc3c2)C(C)C)nn1,1.1.2
CC(C)C(C)(NCc1ccc2ncccc2c1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,1.1.2
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NC(=O)c2ccc3ncccc3c2)C(C)C)nn1,1.1.2
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccc3ncccc3c2)C(C)C)nn1,1.1.2
CC(C)C(C)(NCc1ccc2occc2c1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,2.0
CC(NCc1ccc2occc2c1)(c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1)C1CCCC1,2.0
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccn3nccc3n2)C(C)C)nn1,2.0
CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccn3nccc3n2)C2CCCC2)nn1,2.0
CC(C)C(C)(NCc1ccn2nccc2n1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,2.0
COCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc(C(C)(NCc2ccn3nccc3n2)C2CCCC2)nn1,2.0
